"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 23:37:02 IST 2020","Thu Jan 02 23:37:04 IST 2020","1352","","Test WayToAutomation Banking App","","Test WayToAutomation Banking App","Adding the Deposite Ammount","Adding the Deposite Ammount",""
"passed","Thu Jan 02 23:36:55 IST 2020","Thu Jan 02 23:37:02 IST 2020","7515","","Test WayToAutomation Banking App","","Test WayToAutomation Banking App","Navigating to customer page","Navigating to customer page",""
