"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 28 19:51:36 IST 2019","Sat Dec 28 19:51:40 IST 2019","4129","","Test WayToAutomation Banking App","","Test WayToAutomation Banking App","Adding the Deposite Ammount","Adding the Deposite Ammount",""
"passed","Sat Dec 28 19:51:17 IST 2019","Sat Dec 28 19:51:36 IST 2019","19052","","Test WayToAutomation Banking App","","Test WayToAutomation Banking App","Navigating to customer page","Navigating to customer page",""
