"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 23:41:02 IST 2020","Thu Jan 02 23:41:20 IST 2020","17641","","Test WayToAutomation Banking App","","Test WayToAutomation Banking App","Navigating to customer page","Navigating to customer page",""
"passed","Thu Jan 02 23:41:20 IST 2020","Thu Jan 02 23:41:28 IST 2020","8214","","Test WayToAutomation Banking App","","Test WayToAutomation Banking App","Adding the Deposite Ammount","Adding the Deposite Ammount",""
